affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; affectation ; époque ; extrémité ; opération
affection.n 20 :: air ; interne ; aide ; étroit ; externe ; propre ; aimable ; international ; apercevoir ; amitié
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; animal ; international ; image ; art
affection.n 44 :: tendance ; maladie ; dépendance ; situation ; évolution ; attitude ; espèce ; chose ; relation ; émotion
affection.n 145 :: pathologie ; maladie ; activité ; inflammation ; atteinte ; intervention ; entité ; substance ; cause ; opération
affection.n 210 :: air ; aide ; interne ; externe ; animal ; étranger ; international ; eau ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; indication ; entité ; option ; infection ; opération ; important
affection.n 233 :: amitié ; amour ; appui ; intérêt ; attachement ; opinion ; attention ; estime ; adhésion ; ambition
affection.n 252 :: or ; air ; aide ; art ; énergie ; eau ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; art ; air ; aide ; origine ; image ; aimer ; heureux ; énergie ; user
aisé.a 2 :: absent ; proche ; vulnérable ; redevable ; donner ; interpellé ; pauvre ; épargner ; mort ; acquérir
aisé.a 38 :: privilégier ; élitiste ; important ; bourgeoise ; élevé ; restreindre ; aimable ; pauvre ; attrayant ; prestigieux
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; pauvre ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; harmonieux ; satisfaisant ; favoriser ; ultérieur ; indiscutable ; rigoureux
aisé.a 139 :: supérieur ; riche ; moyen ; privilégier ; nanti ; modeste ; défavorisé ; élevé ; important ; social
aisé.a 173 :: évident ; compliqué ; facile ; accessible ; amusant ; impossible ; passionnant ; envisageable ; incertain ; avancer
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; avantageux ; approprié ; envisageable ; indispensable ; faisable
aisé.a 198 :: riche ; honorable ; modeste ; supérieur ; pauvre ; important ; noble ; bourgeois ; démunir ; fortuné
aisé.a 253 :: facile ; ardu ; faciliter ; intuitif ; évident ; compliqué ; aise ; simple ; effectif ; simplifier
aisé.a 275 :: facile ; évident ; ardu ; habituel ; difficile ; impossible ; avantageux ; compliqué ; auparavant ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; recueillir ; fixer ; couper
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; incarcérer ; emprisonné ; assassiner ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: aimable ; apercevoir ; avantage ; apparent ; intégrer ; aimer ; air ; utiliser ; être ; ensemble
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; lâche ; abandonner ; cesser ; appuyer ; pousse ; commencer
arrêter.v 50 :: abandonner ; éteindre ; enlever ; quitter ; faire ; apprendre ; voir ; inventer ; interrompre ; remplacer
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; pose ; approuver ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; acheter ; aider ; bloquer ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; exécuter ; emprisonner
