affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; affectation ; époque ; extrémité ; opération
affection.n 20 :: air ; interne ; aide ; étroit ; propre ; externe ; aimable ; apercevoir ; amitié ; international
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; animal ; international ; image ; art
affection.n 44 :: tendance ; maladie ; dépendance ; situation ; évolution ; attitude ; espèce ; chose ; relation ; émotion
affection.n 145 :: pathologie ; maladie ; activité ; inflammation ; atteinte ; intervention ; entité ; substance ; cause ; opération
affection.n 210 :: air ; aide ; interne ; externe ; animal ; étranger ; eau ; international ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; indication ; entité ; option ; infection ; opération ; important
affection.n 233 :: amitié ; amour ; appui ; intérêt ; attachement ; opinion ; attention ; estime ; adhésion ; ambition
affection.n 252 :: or ; air ; aide ; art ; énergie ; eau ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; art ; air ; aide ; origine ; image ; aimer ; heureux ; énergie ; ensemble
aisé.a 2 :: absent ; proche ; vulnérable ; donner ; redevable ; interpellé ; pauvre ; épargner ; mort ; acquérir
aisé.a 38 :: privilégier ; important ; élitiste ; bourgeoise ; élevé ; restreindre ; aimable ; pauvre ; attrayant ; prestigieux
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; pauvre ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; harmonieux ; satisfaisant ; ultérieur ; favoriser ; indiscutable ; rigoureux
aisé.a 139 :: supérieur ; riche ; moyen ; privilégier ; nanti ; modeste ; défavorisé ; élevé ; important ; social
aisé.a 173 :: évident ; compliqué ; facile ; accessible ; amusant ; impossible ; passionnant ; envisageable ; incertain ; problématique
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; avantageux ; approprié ; envisageable ; indispensable ; faisable
aisé.a 198 :: riche ; honorable ; modeste ; supérieur ; pauvre ; important ; noble ; bourgeois ; démunir ; fortuné
aisé.a 253 :: facile ; ardu ; faciliter ; intuitif ; évident ; compliqué ; simple ; effectif ; aise ; simplifier
aisé.a 275 :: facile ; évident ; ardu ; habituel ; difficile ; impossible ; avantageux ; compliqué ; auparavant ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; recueillir ; couper ; capturer
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; incarcérer ; emprisonné ; assassiner ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: aimable ; apercevoir ; avantage ; apparent ; intégrer ; aimer ; utiliser ; air ; ensemble ; être
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; lâche ; abandonner ; cesser ; appuyer ; pousse ; commencer
arrêter.v 50 :: abandonner ; éteindre ; enlever ; quitter ; faire ; apprendre ; voir ; inventer ; interrompre ; remplacer
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; pose ; approuver ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; acheter ; aider ; bloquer ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: capturer ; enlever ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; exécuter ; emprisonner
arrêter.v 277 :: or ; parer ; but ; point ; an ; canada ; pi ; vue ; voir ; auparavant
arrêter.v 291 :: décider ; fixer ; adopter ; publier ; établir ; signer ; émettre ; approuver ; proposer ; accorder
capacité.n 26 :: faculté ; flexibilité ; puissance ; disponibilité ; rapidité ; dimension ; pouvoir ; souplesse ; vitesse ; force
capacité.n 32 :: puissance ; chaîne ; tête ; possibilité ; force ; réserve ; quantité ; charge ; raison ; différence
capacité.n 35 :: clinique ; formation ; activité ; équipe ; maîtrise ; résidence ; spécialiste ; population ; université ; contribution
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; consommation ; rentabilité ; quantité ; construction ; sécurité ; dotation
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; souplesse ; possibilité ; volonté ; flexibilité ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; faculté ; fonction ; pouvoir ; liberté ; force ; vertu
capacité.n 103 :: ressource ; possibilité ; activité ; stock ; chaîne ; unité ; disponibilité ; installation ; quantité ; coût
capacité.n 110 :: possibilité ; quantité ; puissance ; batterie ; solution ; suite ; réserve ; garantie ; durée ; surface
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; pouvoir ; puissance ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; maturité ; spécialisation ; connaissance ; certification ; qualité ; qualification ; aptitude
commander.v 5 :: dicter ; demander ; vouloir ; signer ; écrire ; commande ; ordonner ; donner ; lancer ; publier
commander.v 9 :: commander ; commencer ; acheter ; choisir ; réserver ; sélectionner ; découvrir ; oublier ; créer ; apprendre
commander.v 16 :: diriger ; commanda ; recevoir ; combat ; soutenir ; ordonner ; consigne ; lancer ; mener ; prendre
commander.v 41 :: choisir ; décider ; commencer ; faire ; définir ; effectuer ; lancer ; gérer ; créer ; réaliser
commander.v 48 :: diriger ; contrôlent ; déterminer ; régir ; gouverner ; mener ; gérer ; créer ; dominer ; financer
commander.v 117 :: commande ; commanda ; dicter ; commandant ; commandement ; réclamer ; comporter ; prescrire ; justifier ; permettre
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; conseiller ; prescrire ; enjoindre ; imposer ; enseigne ; demande
commander.v 171 :: acheter ; acquérir ; commande ; valider ; réserver ; admirer ; imprimer ; ouvrir ; déguster ; essayer
commander.v 206 :: protéger ; servir ; commande ; permettre ; donne ; donner ; défense ; passer ; surveiller ; supprimer
commander.v 240 :: commande ; régler ; faire ; payer ; contrôler ; uniquement ; acheter ; personnaliser ; également ; prendre
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; interpréter ; intégrer ; enseigner ; lire ; vivre ; contenue
compris.a 90 :: penser ; croire ; sentir ; réaliser ; convaincre ; trouver ; apprendre ; assurer ; saisir ; considérer
compris.a 106 :: entendre ; deviner ; savoir ; vivre ; nécessaire ; penser ; comprendre ; vouloir ; croire ; cacher
compris.a 185 :: inclure ; contenir ; incorporer ; mentionner ; inscrire ; entendre ; présent ; inclus ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; rester ; placer ; intégré ; présent ; incorporer
compris.a 187 :: contenu ; estimer ; situer ; compter ; moyen ; supérieur ; recommander ; choisir ; définir ; limité
compris.a 211 :: répartir ; situer ; mesurer ; varier ; maintenir ; grouper ; moyen ; partager ; inclus ; graduellement
